VariantName,GrowthRate,GrowthRateStd,Rank
BA.5.2.6,9.073229357390613,0.29458689609659233,1
BA.5.2.13,9.072522319608275,0.29457388008432134,2
BF.7,8.919869323828484,0.29585340805178195,3
BF.11,8.919622497535045,0.2957395996705362,4
BL.1,8.837564259888504,0.3259739821703543,5
BN.1,8.837020809219316,0.32559694345896023,6
BM.1.1,8.836782892685507,0.325716317528305,7
BA.2.75.2,8.836670415373097,0.32575081309970416,8
BM.2,8.835738093602538,0.3251987828548919,9
BE.1.2,8.767199674833517,0.2971205953104962,10
BA.5.1.18,8.762144509221335,0.29508010557184294,11
BA.5.1.20,8.761975304900709,0.294217566019449,12
BQ.1.1,8.683788806214961,0.3338480998545123,13
BA.2.75.4,8.676292285241978,0.3270753771361513,14
BU.1,8.624149757573749,0.3372773148939679,15
BA.5.1.21,8.555025201011292,0.29728556331364947,16
BT.1,8.555003012452321,0.2972928827717889,17
BA.4.6.1,8.549968099129737,0.3092587736391732,18
BA.4.6,8.47940127641051,0.29627594550102127,19
BA.5.2.8,8.468580768016452,0.2926437919987871,20
BA.5.2.14,8.468566243859106,0.2928084854546176,21
BA.5.2.16,8.468310385922067,0.2925051439648013,22
BA.5.2.10,8.468202453376996,0.29254239322335285,23
BA.5.2.15,8.468171647659664,0.29298607758435835,24
BA.4.1.9,8.468168932571992,0.29648374292065305,25
BA.4.1.8,8.468168932571992,0.29648374292065305,26
BA.5.2.7,8.468114444806359,0.29234138115801256,27
BA.5.2.17,8.468103504125978,0.29234402263579184,28
BA.5.2.12,8.468097695677098,0.2923375336669566,29
BA.5.2.3,8.468097695677098,0.2923375336669566,30
BA.5.2.11,8.468048180078775,0.2924984467590445,31
BA.5.2,8.391098566583002,0.31166327824332984,32
BF.14,8.377720843157165,0.30170984323543154,33
BF.13,8.330409331394693,0.30011983717357943,34
BF.18,8.321866491385657,0.2948010924886203,35
BF.3.1,8.320661016990403,0.29462589332720573,36
BF.3,8.319973493826755,0.29421428375469344,37
BF.23,8.319589994301642,0.29444569361682293,38
BA.5.2.9,8.31902030522784,0.2939850881091498,39
BA.5.2.1,8.318811363511738,0.31236356856665787,40
BF.15,8.315612018857296,0.2937568597042589,41
BF.6,8.315278898809979,0.2941424428741503,42
BF.16,8.314896327814974,0.29400110619643033,43
BF.10,8.314847750730424,0.29356396092842424,44
BA.5.2.4,8.31480002922438,0.29373712753352127,45
BF.21,8.314674641138728,0.29379840460770223,46
BF.2,8.314497052388333,0.2935735094773294,47
BF.17,8.31449290386466,0.2935627129944932,48
BF.20,8.314485293578548,0.29417047757200376,49
BF.22,8.314477579202574,0.2935736093737991,50
BF.4,8.31436019798318,0.2937902449691227,51
BF.8,8.314137124066844,0.29369923064931075,52
BA.5.2.5,8.313974246827417,0.2945824539651496,53
BF.9,8.313964378755244,0.2939459022420245,54
BF.5,8.30284972567441,0.3005074040416389,55
BA.2.75.1,8.232432598175182,0.32417882913272666,56
BN.2,8.232024197218914,0.32470698937383047,57
BA.2.75.5,8.231966233139282,0.3235778737538791,58
BM.4.1,8.23174680188902,0.3241095520321847,59
BM.1,8.23165123097217,0.323957795862893,60
BM.4,8.230702002805996,0.3235955995114493,61
BA.2.75.3,8.230606431889175,0.32344329348390743,62
BM.3,8.23056287373541,0.32351683177745383,63
BA.2.75,8.230437347181077,0.3234531843248686,64
BA.5.2.2,8.222825319951093,0.2984060388486232,65
BE.1.1,8.176864699843003,0.2968463230076817,66
BA.5.1.17,8.174577286902297,0.2954803468537534,67
BA.5.1.5,8.174400963903562,0.2964510695034533,68
BA.5.1.10,8.17029379516083,0.29583859417653147,69
BK.1,8.169721833529728,0.2954883348724338,70
BA.5.6.2,8.164620870310474,0.29237269425413037,71
BE.1,8.16275794570041,0.29512914984595057,72
BA.5.6.1,8.162298138391833,0.29286773341158856,73
BE.2,8.161551331660682,0.29479391790694176,74
BA.5.3.1,8.16151069736563,0.2948564109818203,75
BE.3,8.161314200189516,0.2949623752891616,76
BA.5.1,8.160340346534968,0.29292783262366767,77
BE.1.3,8.16011909977441,0.29567423327853903,78
BA.5.1.9,8.160045899027075,0.2931619354218792,79
BA.5.9,8.160042261054862,0.29300606270541324,80
BA.5.6,8.159927313429534,0.29200215293024173,81
BA.5.1.3,8.159362644808834,0.29256489712584394,82
BA.5.1.7,8.159018899457765,0.29255361153007353,83
BA.5.1.12,8.157819730478792,0.29229993676445487,84
BA.5.1.16,8.157633528583984,0.2921874021795981,85
BA.5.1.6,8.157450918279823,0.29204512994161796,86
BA.5.1.2,8.157115026388427,0.291832374363372,87
BA.5.1.19,8.15707059508169,0.2919461229106514,88
BA.5.1.15,8.156939330763265,0.29205205233337533,89
BA.5.1.13,8.15687028568598,0.29181989422739174,90
BA.5.1.14,8.156846911023845,0.29179393990045877,91
BA.5.1.8,8.156819638074689,0.29177048952856444,92
BA.5.1.4,8.15645453914837,0.29258758294177667,93
XAZ,8.156378840198979,0.29239550079854415,94
BA.5.7,8.155869491229467,0.2923752899767539,95
BA.5.10,8.15444915054175,0.2925412861614743,96
BA.5.8,8.153752386000004,0.2921378273398866,97
BF.19,8.11802460458565,0.30725344425344747,98
BA.5.1.11,8.114473739531324,0.2976206428610535,99
BA.5,8.107750063270673,0.3786946951640348,100
BF.1.1,8.107310288642097,0.3032931691096963,101
BF.1,8.089723330417268,0.30098870400414646,102
BA.5.5.3,8.084106456932314,0.28302457467191156,103
BQ.1,8.078669479643231,0.33182918294778513,104
XAN,8.068889319182485,0.30222047499965055,105
XAV,8.067679288025753,0.3021688972383769,106
BA.5.3.3,8.0370991305468,0.31641118225047105,107
BA.5.3.4,8.019715703361777,0.3117024222170872,108
BA.5.3,8.01922293736039,0.3117303088733435,109
BA.5.5.1,8.009910565899748,0.29481524507896173,110
BS.1,8.009828345544404,0.3475948218504424,111
BA.5.5,8.007176292049309,0.29407956866190726,112
BA.5.5.2,8.006118659664752,0.29361085675693815,113
BA.4.1.1,7.977585750065114,0.37591878640369986,114
BA.5.3.2,7.964593037180112,0.3102498928425778,115
BA.4.1.7,7.941319230384412,0.28509579877283586,116
BA.4.1.2,7.941104737323215,0.28443613512561655,117
XAJ,7.928850956018941,0.3161753307234147,118
BE.1.1.1,7.922526916538876,0.2892689274770574,119
BA.5.1.1,7.912859739939805,0.3238450512482003,120
BA.4.1,7.90758058959115,0.3348797236997401,121
BA.4.7,7.891351063950385,0.30216215114642836,122
BA.4.4,7.878285145443918,0.2954430446949608,123
BA.4.3,7.876412136595897,0.2958269730994961,124
BA.4.5,7.87406256693235,0.2957049163316801,125
BA.4.1.3,7.872187551270199,0.29563249023506205,126
BA.4.2,7.864038965081469,0.29431702050801534,127
BA.4.1.4,7.863063431506429,0.2942156262847708,128
BA.4.1.5,7.862820980279783,0.2942128018246294,129
BA.4.1.6,7.862581807695488,0.2943939325843421,130
XAS,7.86144407929835,0.29667249208828017,131
BA.4.8,7.861239961215591,0.29637085345372804,132
BA.4,7.8049326089023445,0.3613784607484025,133
BF.12,7.796426487771492,0.29447929723047384,134
BH.1,7.616708629401492,0.29484767390196986,135
BA.2.74,7.599676736403774,0.3006216403734684,136
BP.1,7.588848747655499,0.3043971343545262,137
BA.2.3.20,7.51365108671953,0.35922873314778503,138
BA.2.82,7.424898441330672,0.30131219508005913,139
BA.2.38.1,7.307112753305737,0.2981273757978182,140
BG.2,7.277687218871145,0.2996520648790628,141
BA.2.10.4,7.260361194612875,0.31140494523165413,142
BA.2.77,7.259571509125886,0.2997747891964448,143
BA.2.76.1,7.19811634113509,0.3146869396627076,144
BA.2.76.2,7.198027487316908,0.3146823241984748,145
BA.2.76,7.190869029933965,0.3133419776732208,146
BG.5,7.152691072421102,0.29791692132895914,147
BJ.1,7.151786247996241,0.33699455699604386,148
BG.6,7.148237955859536,0.296906208408935,149
BG.3,7.147826252552749,0.29700108592829944,150
BG.4,7.147747361246117,0.2967202748160935,151
BG.1,7.147738680385447,0.2965530416770963,152
BA.2.38.3,7.1405169851937975,0.2925496908059854,153
BA.2.80,7.1331611579315,0.2977712690969322,154
BA.2.9.4,7.130724668501334,0.29645195354097376,155
BA.2.12.1,7.108786526248663,0.3271682686677446,156
BA.2.38.2,7.023822396328281,0.2906167013769055,157
BA.2.38,7.0158545048078995,0.28769436144318367,158
BA.2.18,7.015735352382013,0.28778362142974984,159
BA.2.40.1,7.015727973465919,0.2876810126892303,160
BA.2.3.19,7.00435591774163,0.28902446690208916,161
BA.2.13.1,7.003517223651785,0.3004017384950435,162
BA.2.9.6,7.000362949222062,0.30038929061739317,163
BA.2.13,6.995818403077881,0.29889164113247496,164
BA.2.56.1,6.994938268811936,0.29939500085132803,165
BA.2.9.1,6.992308406776622,0.29837347479846443,166
BA.2.35,6.972411505934072,0.2969252391557827,167
BA.2.11,6.971954623441624,0.2968609189703188,168
BA.2.73,6.840680969105172,0.3189405527655756,169
BA.2.55,6.824099113245372,0.2996123980873928,170
BA.2.42,6.820071313309847,0.2988466334342075,171
BA.2.36,6.819652890804246,0.2986196532361446,172
BA.2.48,6.818865496623849,0.3039267127612572,173
BA.2.79.1,6.817570033216768,0.3043812549089459,174
BA.2.54,6.816742047829824,0.30401199555264274,175
BA.2.71,6.814771366256172,0.3021799881785096,176
BA.2.9.3,6.814771366256172,0.3021799881785096,177
BA.2.61,6.814771366256172,0.3021799881785096,178
BA.2.56,6.761008463172246,0.3770273762246687,179
XW,6.678794224664137,0.31697199281786903,180
BA.2.12.2,6.6724243812222905,0.3064274577806017,181
BA.2.58,6.656549253773268,0.2968841081644362,182
BA.2.12,6.633813603454552,0.30936524563155915,183
XT,6.624436249943082,0.30388239611411527,184
BA.2,6.619534963859375,0.45463376743216455,185
BA.2.19,6.616198774368741,0.3004818363701546,186
BA.2.15,6.6149519200000055,0.3005874653454103,187
XAC,6.6146684846332455,0.29495414472719794,188
BA.2.16,6.614338212990634,0.3006350687905236,189
XAR,6.589924867887431,0.31251174347702315,190
XN,6.589894046731151,0.3126111370143681,191
XAU,6.58988753162947,0.31218937357310617,192
BA.2.10.3,6.581363980654264,0.301248754671504,193
BA.2.70,6.557149273534718,0.29946548110375354,194
XAA,6.542093559598228,0.3084964747290089,195
XQ,6.541911540631449,0.30837588757470796,196
XAG,6.541901995916419,0.30837855198582215,197
XAB,6.541901995916419,0.30837855198582215,198
XR,6.541895221713537,0.3084584929907976,199
XAM,6.540962792378687,0.30865734670990624,200
BA.2.9,6.539569905108187,0.30190297559238544,201
BA.2.52,6.536301389384837,0.29557403694564593,202
XAP,6.5360023207029485,0.2985608602390026,203
XAD,6.53599323095723,0.29856234428249334,204
XZ,6.535987216079128,0.298886416271427,205
XAH,6.535596328607622,0.29857949054497746,206
BA.2.72,6.53330818524738,0.2952291146684843,207
BA.2.50,6.53330818524738,0.2952291146684843,208
BA.2.53,6.532892945025914,0.29621148413196874,209
BA.2.63,6.531701678947808,0.2960204559943075,210
BA.2.20,6.530007578890139,0.29547865120844036,211
BA.2.81,6.52998605020376,0.2947208391197822,212
BA.2.43,6.529907161132985,0.297014243999027,213
BA.2.44,6.529347757166859,0.2967525517191533,214
BA.2.59,6.529004879071437,0.2955777074759388,215
BA.2.2,6.528198144657956,0.2948492238684194,216
BA.2.2.1,6.528144293708281,0.2956387712596643,217
BA.2.23.1,6.528005198319196,0.2942690812286297,218
BA.2.47,6.52774261145359,0.29440258329159225,219
BA.2.46,6.527729343586551,0.29494653266732784,220
BA.2.79,6.527718456157149,0.2948610223134449,221
BA.2.21,6.527403949606766,0.2947766752092695,222
BA.2.24,6.527397068915156,0.2943934343342673,223
BA.2.23,6.527202843552247,0.29425257744359123,224
BA.2.39,6.526997754988727,0.2948892509843144,225
BA.2.62,6.526926597832071,0.294414842216264,226
BA.2.14,6.526893517616288,0.2945617294371492,227
BA.2.8,6.526852167821631,0.29460568439692225,228
BA.2.28,6.526818113708471,0.29451717281932754,229
BA.2.45,6.526795986859337,0.29434647455322455,230
BA.2.78,6.526792150508414,0.2943902446550989,231
BA.2.22,6.526755196215841,0.294441994517615,232
BA.2.60,6.526692656395831,0.29509364680463884,233
BA.2.64,6.526535435397474,0.2943658727994709,234
BA.2.9.5,6.52653138445727,0.2947324831409395,235
BA.2.27,6.526527446564747,0.2943920375671825,236
BA.2.68,6.526497488558595,0.294265661956846,237
BA.2.17,6.526495323049263,0.29484914765037296,238
BA.2.1,6.526481491558007,0.2944382261365274,239
BA.2.67,6.526480038162473,0.2943564546211288,240
BA.2.57,6.52647350973276,0.29436272148453707,241
BA.2.49,6.526468371756359,0.2942676929208289,242
BA.2.51,6.526468371756359,0.2942676929208289,243
BA.2.40,6.526468371756359,0.2942676929208289,244
BA.2.31,6.526468371756359,0.2942676929208289,245
BA.2.29,6.526468371756359,0.2942676929208289,246
BA.2.65,6.526425177877338,0.2943776144514789,247
BA.2.69,6.5264190848415655,0.2947431996614519,248
BA.2.26,6.526390585635552,0.29454474340302794,249
BA.2.37,6.526377515107775,0.2945942365312734,250
BA.2.34,6.526365713778032,0.29448730513892823,251
BA.2.66,6.526239951624831,0.29505896240048646,252
BA.2.4,6.526227224830284,0.294341917085146,253
BA.2.5,6.526216349768426,0.2943684042293667,254
BA.2.32,6.526210367681856,0.2943384949929044,255
BA.2.7,6.526160957684777,0.2942050160904104,256
BA.2.30,6.52608806990116,0.2949848199872374,257
BA.2.9.2,6.526004774642621,0.29455823215820376,258
BA.2.33,6.525843373108987,0.2943041396125904,259
BA.2.6,6.525601657306419,0.29457636323312536,260
BA.2.25.1,6.525062391248368,0.29486041039784566,261
BA.2.25,6.525010938188715,0.29483182844841715,262
XAT,6.523527378541943,0.29975928193540696,263
BA.2.3.12,6.516972564553607,0.2959519622675704,264
BA.2.3,6.516748900556494,0.2958157966686676,265
BA.2.3.2,6.516165858330189,0.2957857055239188,266
BA.2.3.16,6.515542884897223,0.2954444211473711,267
BA.2.3.18,6.51543671276165,0.29606496461183984,268
BA.2.3.10,6.515261000924773,0.295455442629784,269
BA.2.3.6,6.51519589552706,0.2953649852038324,270
BA.2.3.14,6.515180921593158,0.2953905763551476,271
BA.2.3.4,6.515154364461542,0.2954100201008908,272
BA.2.3.9,6.515141649238564,0.2954076551179418,273
BA.2.3.11,6.515138975243392,0.29537833875481956,274
